R_Peak_22,R_Trough_22,R_Peak_24,R_Trough_24,R_Peak_25,R_Trough_25,R_Peak_26,R_Trough_26,R_Peak_27,R_Trough_27,R_Peak_28,R_Trough_28,R_Peak_29,R_Trough_29,R_Peak_30,R_Trough_30,R_Peak_31,R_Trough_31,R_Peak_32,R_Trough_32,R_Peak_33,R_Trough_33,D_Peak_33,D_Trough_33,D_Peak_34,D_Trough_34,D_Peak_35,D_Trough_35,D_Peak_36,D_Trough_36,D_Peak_37,D_Trough_37,D_Peak_38,D_Trough_38,D_Peak_39,D_Trough_39,D_Peak_41,D_Trough_41,D_Peak_42,D_Trough_42,D_Peak_43,D_Trough_43,D_Peak_44,D_Trough_44,D_Peak_45,D_Trough_45,D_Peak_46,D_Trough_46,D_Peak_47,D_Trough_47,D_Peak_48,D_Trough_48,D_Peak_49,D_Trough_49,Fre_22,Fre_24,Fre_25,Fre_26,Fre_27,Fre_28,Fre_29,Fre_30,Fre_31,Fre_32,Fre_33,Fre_34,Fre_35,Fre_36,Fre_37,Fre_38,Fre_39,Fre_41,Fre_42,Fre_43,Fre_44,Fre_45,Fre_46,Fre_47,Fre_48,Fre_49
0.471990214,-0.381869429,0.615266183,-0.381824754,0.6720246,-0.445812683,0.702570641,-0.492225967,0.73291373,-0.525928373,0.795945443,-0.624827905,0.87794582,-0.725631349,0.940459228,-0.769328582,1.012727262,-0.932905953,1.033956698,-1.020712332,0.984359523,-1,1,0.520078903,0.927569459,0.450438122,0.841260139,0.399116705,0.783073375,0.37425205,0.782333008,0.37916852,0.869142128,0.430118198,0.912666712,0.451156098,0.918604687,0.474918757,0.80097181,0.480786544,0.835052043,0.422157628,0.761566427,0.383864643,0.733087166,0.34360146,0.668831256,0.390315639,0.668174362,0.362811772,0.609838281,0.334923335,0.600222318,0.337495567,0.737249997,0.682564586,0.690311356,0.645450971,0.70348309,0.798928694,0.785702074,0.869946687,0.949601449,1,0.989270863,1,0.87524341,0.815146145,0.774859623,0.89627004,0.955687158,0.976175732,0.986518011,0.839511321,0.840002677,0.811735596,0.709601568,0.763772466,0.715639522,0.701713734
0.421295546,-0.379969539,0.5926316,-0.403351015,0.638400115,-0.422233449,0.64246401,-0.496161662,0.674098938,-0.549702205,0.760020092,-0.601456582,0.858421204,-0.725973264,0.953396861,-0.806092498,1.019048193,-0.898438507,1.007910976,-0.9897642,0.97067381,-1,1,0.541594551,0.936783528,0.471811738,0.855193405,0.424679226,0.792287035,0.393885007,0.792577861,0.392574375,0.886278947,0.439503081,0.956713356,0.457014812,0.951759103,0.488014218,0.8372319,0.502543916,0.859003061,0.440538335,0.7889088,0.396806026,0.750194309,0.35937694,0.695327333,0.405306674,0.696238362,0.375906317,0.625144634,0.345314414,0.607274401,0.342800828,0.691097513,0.802697616,0.763166454,0.633558039,0.718823024,0.78476967,0.768227114,0.846764936,0.924353942,1,0.948348124,0.918006315,0.85019298,0.793225059,0.820130827,0.941965969,1,0.92475035,0.861357645,0.785203543,0.770742049,0.786585657,0.670437234,0.68982382,0.630480935,0.629647814
0.469761353,-0.32929878,0.670941991,-0.42246658,0.669003077,-0.385741932,0.676824605,-0.431034528,0.718334116,-0.515383627,0.884574853,-0.61762441,0.96947536,-0.731163466,1.079418053,-0.785278294,1.113875645,-0.815619745,1.10202458,-0.979518645,1,-0.945371538,0.953652445,0.604808191,0.914368846,0.477569806,0.841919524,0.418974588,0.793662156,0.394819603,0.830819653,0.390120246,0.880063562,0.440737294,1,0.47278318,0.977170519,0.517466131,0.884136997,0.533139697,0.864353213,0.464922303,0.836688872,0.414927131,0.755856942,0.371355234,0.737202097,0.423779652,0.71945011,0.392663982,0.634314939,0.355855563,0.628699988,0.352559921,0.739386966,0.819075852,0.831589363,0.587091935,0.783971971,0.822222786,0.772165875,0.848615993,0.898530883,1,1,0.97270623,0.838650998,0.764835425,0.772553201,0.82610242,0.935641937,0.897556953,0.889592209,0.845772857,0.843303672,0.907105755,0.776605669,0.84323624,0.740979546,0.724719343
0.506509446,-0.365486393,0.651506691,-0.412174456,0.610391546,-0.389765234,0.5965259,-0.426106537,0.657750112,-0.468046387,0.770007984,-0.597022298,0.82507282,-0.664411899,0.935757738,-0.71714995,0.997112386,-0.746690869,0.988811926,-0.860152439,1,-0.820132892,0.985969824,0.605751224,0.957204401,0.480174053,0.869556414,0.443690122,0.823864805,0.406534734,0.846674045,0.41370168,0.88609075,0.445611358,1,0.464316926,0.964852131,0.530535851,0.896192221,0.535116657,0.866183121,0.479694519,0.85140866,0.421119573,0.79258822,0.38055733,0.747527553,0.428832128,0.716214603,0.391983208,0.653481864,0.360489039,0.64454609,0.352091772,0.748841712,0.851990426,0.870298454,0.698276977,0.767604499,0.73782633,0.794322424,0.868061697,0.892973302,1,1,0.925204869,0.843644858,0.77371122,0.7629321,0.81067462,0.930677259,0.945803844,0.881728092,0.928146236,0.869668291,0.87082949,0.794271938,0.7992159,0.736189623,0.729224117
0.677144987,-0.411057883,0.749346976,-0.441495241,0.758552492,-0.389427676,0.756183337,-0.445450545,0.802236758,-0.532377223,0.92879312,-0.656822699,1.013749365,-0.771547192,1.106437088,-0.82617534,1.10628398,-0.867156967,0.990015223,-0.899385806,1,-0.96427714,1,0.559813753,0.914218478,0.451681268,0.858999581,0.417983973,0.791313993,0.396246147,0.79841741,0.389576197,0.848145195,0.409923087,0.963747993,0.45114612,0.932891207,0.514355577,0.846511073,0.495303624,0.841389537,0.465063888,0.805127614,0.389892494,0.752869936,0.362853089,0.713417278,0.395503779,0.702126314,0.37203444,0.635837181,0.346886117,0.614015846,0.33136939,0.774530389,0.813066252,0.824406008,0.685513963,0.759439833,0.762088984,0.84729825,0.890998261,0.879733201,0.999058729,0.987188397,1,0.835547405,0.844781502,0.817592659,0.853576059,0.986155245,0.947110115,0.890794696,0.953794461,0.887298303,0.849046719,0.773073235,0.841089121,0.753907482,0.740813457
0.729442669,-0.373911403,0.795701344,-0.408578768,0.79375678,-0.403612445,0.813357617,-0.474995314,0.808325974,-0.517850061,0.987742899,-0.664601319,1.076319956,-0.738994754,1.078511433,-0.707941038,1.095508826,-0.792007174,0.99925024,-0.826450847,1,-0.938166209,1,0.545534565,0.90661054,0.439617336,0.847211947,0.400111897,0.774726508,0.377842721,0.7865541,0.36037836,0.836874728,0.374552872,0.9422627,0.433742427,0.903600384,0.50132965,0.814700337,0.471936354,0.813811923,0.449122704,0.788868076,0.365323559,0.734888041,0.345931073,0.696135654,0.37335213,0.684856993,0.358226594,0.619924459,0.333224954,0.596495323,0.314844461,0.724423905,0.757604911,0.740785509,0.655903237,0.766922871,0.840561918,0.829991788,0.759606271,0.870995713,1,0.946281674,1,0.82853269,0.7756401,0.726856247,0.792607287,0.854728814,0.862381125,0.800253287,0.863094244,0.799117444,0.793228815,0.733918748,0.754501808,0.700096566,0.697657489
0.666556405,-0.475761683,0.717740235,-0.492237374,0.774623653,-0.52879168,0.70277904,-0.532625851,0.739193028,-0.540406144,0.80230957,-0.5641139,0.822799262,-0.658630729,0.929679127,-0.713357963,0.993146717,-0.84582873,0.960653521,-0.94398749,0.995356215,-1,1,0.589976711,0.909748109,0.456145414,0.849626154,0.417048308,0.786977248,0.398762065,0.780502344,0.385577114,0.816313671,0.39321806,0.927782538,0.422677408,0.936179781,0.497626204,0.85224396,0.477341597,0.844876845,0.446061019,0.803200456,0.374830382,0.754936084,0.353841034,0.726135641,0.38749741,0.716554666,0.360982154,0.651240484,0.344510892,0.630766282,0.329006641,0.629360666,0.553994095,0.550398209,0.552144729,0.691365297,0.787066821,0.83224172,0.934961209,0.908122736,1,0.974313746,0.97210978,0.800658792,0.837248896,0.809549235,0.824844327,0.839624575,1,0.875867349,0.886191009,0.849205348,0.762337217,0.699988271,0.671067164,0.671006357,0.661145897
0.61331085,-0.498045025,0.659852057,-0.478018224,0.684601068,-0.524584391,0.660725318,-0.543901455,0.656195368,-0.525170786,0.758557093,-0.55313462,0.775359331,-0.649546067,0.870308931,-0.711234919,0.920576839,-0.840754185,0.89623548,-0.892764231,0.966945026,-1,1,0.569413385,0.904564843,0.451942193,0.834711411,0.40681168,0.769204137,0.382491518,0.774376703,0.368441478,0.790949324,0.37881044,0.910523749,0.419433896,0.918590623,0.483213968,0.847049941,0.452560434,0.829538219,0.437538307,0.79401267,0.352811518,0.736788263,0.343551517,0.722594697,0.368211085,0.705074211,0.356626732,0.64455497,0.337344884,0.62290471,0.320853808,0.631648261,0.446794991,0.515740186,0.513604064,0.641476869,0.700603131,0.756081022,0.903005907,0.884324862,0.99494314,0.959015837,0.950239773,0.745530351,0.792639428,0.786592858,0.809624611,0.885737793,1,0.876092442,0.896364941,0.736749126,0.637070815,0.672713864,0.597714971,0.551155154,0.541600456
0.580543803,-0.446622818,0.605850345,-0.523668087,0.684429206,-0.533779146,0.6671766,-0.569363716,0.67106059,-0.54808643,0.761116607,-0.602673462,0.774179263,-0.645184362,0.907673343,-0.72570986,0.976009086,-0.821288844,0.982906127,-0.935563022,1,-0.951938151,1,0.640624836,0.922645473,0.499480066,0.847286086,0.449068068,0.801924917,0.41971069,0.810814331,0.39279689,0.827660349,0.395303168,0.932990254,0.447604887,0.927632948,0.512768941,0.865567256,0.495038915,0.831989765,0.463725233,0.827245599,0.379422342,0.76067119,0.362352012,0.739915794,0.395904891,0.71462342,0.384422871,0.649858534,0.359169661,0.639927707,0.338547196,0.594624767,0.616247622,0.559470227,0.657594768,0.809809732,0.879852167,0.866706338,0.953022685,0.959255161,1,1,0.962268343,0.871026413,0.893416556,0.857037401,0.940787653,0.947921329,0.969952781,0.909351376,0.8455415,0.820222402,0.809778581,0.688955131,0.753013278,0.699781714,0.688413846
0.574880423,-0.473370192,0.589935669,-0.463217429,0.636554068,-0.510466481,0.623773605,-0.574623777,0.703241483,-0.60737329,0.732728234,-0.674434474,0.815845511,-0.742118684,0.911777805,-0.87997028,0.948117621,-0.90921361,0.883678657,-1.009273447,0.84152654,-1,1,0.613629659,0.928363163,0.473397159,0.857666267,0.420096952,0.800148312,0.396432433,0.792183701,0.36626057,0.836028588,0.380800787,0.925440854,0.421968873,0.934428858,0.488809695,0.841043071,0.464891067,0.837000007,0.443046357,0.791501439,0.356782876,0.74934679,0.33259966,0.707995191,0.364812912,0.700559435,0.351459242,0.638463934,0.328995866,0.626278831,0.311432501,0.603695253,0.621211901,0.626146669,0.741558493,0.845505566,0.776382016,0.701682996,0.888438274,1,0.939097585,1,0.934225496,0.83183877,0.840744342,0.82180864,0.855376652,0.889824113,0.991172125,0.867286167,0.88204681,0.73741752,0.735481954,0.640933782,0.675359611,0.62343272,0.610404738
