R_Peak_22,R_Trough_22,R_Peak_24,R_Trough_24,R_Peak_25,R_Trough_25,R_Peak_26,R_Trough_26,R_Peak_27,R_Trough_27,R_Peak_28,R_Trough_28,R_Peak_29,R_Trough_29,R_Peak_30,R_Trough_30,R_Peak_31,R_Trough_31,R_Peak_32,R_Trough_32,R_Peak_33,R_Trough_33,D_Peak_33,D_Trough_33,D_Peak_34,D_Trough_34,D_Peak_35,D_Trough_35,D_Peak_36,D_Trough_36,D_Peak_37,D_Trough_37,D_Peak_38,D_Trough_38,D_Peak_39,D_Trough_39,D_Peak_41,D_Trough_41,D_Peak_42,D_Trough_42,D_Peak_43,D_Trough_43,D_Peak_44,D_Trough_44,D_Peak_45,D_Trough_45,D_Peak_46,D_Trough_46,D_Peak_47,D_Trough_47,D_Peak_48,D_Trough_48,D_Peak_49,D_Trough_49,Fre_22,Fre_24,Fre_25,Fre_26,Fre_27,Fre_28,Fre_29,Fre_30,Fre_31,Fre_32,Fre_33,Fre_34,Fre_35,Fre_36,Fre_37,Fre_38,Fre_39,Fre_41,Fre_42,Fre_43,Fre_44,Fre_45,Fre_46,Fre_47,Fre_48,Fre_49,epsilon1,delta1
0.66790464,-0.3488461,0.70681661,-0.4055274,0.78479453,-0.4244084,0.6881369,-0.3597161,0.7278213,-0.4145311,0.79541394,-0.4535496,0.72810175,-0.3551889,0.78159725,-0.43089,0.75233274,-0.4338833,0.9710557,-0.5731117,1,-0.4706616,1,0.22792667,0.98483523,0.22358461,0.97778353,0.22121522,0.96695043,0.21745808,0.97608326,0.21431211,0.83347234,0.18691855,0.81921739,0.18341697,0.78787502,0.17507162,0.77204312,0.17127683,0.75979749,0.16733892,0.74590211,0.1639245,0.7334866,0.16004751,0.72097997,0.15697236,0.70831088,0.15333061,0.69716327,0.15037878,0.68463534,0.14696289,0.94858892,0.901766558,0.909563495,0.828024982,0.85911139,0.892922996,0.794914904,0.829666407,0.866213533,0.896442644,0.99925468,0.8708369,1,0.79343192,0.99349001,0.76918739,0.7533436,0.73074679,0.72410829,0.71754369,0.71056048,0.70221021,0.6936255,0.68682285,0.67834684,0.67126693,0.195750684,-0.003511146
0.66785187,-0.3485952,0.7067775,-0.4053421,0.78476948,-0.4241001,0.68814452,-0.3594308,0.72775821,-0.4141231,0.79543228,-0.4531976,0.72809894,-0.3548052,0.7816375,-0.4305793,0.75247926,-0.4337757,0.97117842,-0.5729684,1,-0.4704829,1,0.22792344,0.98490086,0.22359631,0.97793693,0.2212438,0.96719612,0.21750257,0.97643182,0.21437348,0.83383413,0.18697988,0.81969877,0.1835051,0.78870409,0.17523467,0.77299627,0.17147115,0.76091576,0.16757044,0.74710827,0.16417986,0.73484947,0.1603371,0.72241089,0.15728082,0.70989752,0.15365449,0.6988155,0.15073391,0.68643137,0.14732847,0.94854071,0.901755996,0.909538467,0.828034895,0.859098683,0.892869295,0.794900114,0.829645905,0.866189326,0.896466573,0.99907802,0.87073103,1,0.79350934,0.99374342,0.76946439,0.75371131,0.73136688,0.72481731,0.71829041,0.71132104,0.70298907,0.69446547,0.68780134,0.67945537,0.67248483,0.184912931,-0.006600675
0.66562965,-0.3465692,0.70442676,-0.4044672,0.78153816,-0.4214653,0.68637043,-0.3578384,0.72474482,-0.4103599,0.79243781,-0.4490496,0.72590112,-0.3510995,0.77965987,-0.4258477,0.75295631,-0.4305427,0.97106172,-0.5679004,1,-0.4688786,1,0.22784321,0.98608503,0.223846,0.9806536,0.22188057,0.97154281,0.21852002,0.98250665,0.2157397,0.84001968,0.18858702,0.82653592,0.18529727,0.79541821,0.1770474,0.77935166,0.17319426,0.7675759,0.16931637,0.75353667,0.16584592,0.74159802,0.16202942,0.72895637,0.15890601,0.71676821,0.15521525,0.70577904,0.15233196,0.69345085,0.14886943,0.947339478,0.901047589,0.908882804,0.828040646,0.858917178,0.892095298,0.794476837,0.829018368,0.865246827,0.896538173,0.9977101,0.87019223,1,0.7921156,0.99520399,0.77110022,0.75533358,0.732764,0.72692891,0.72135505,0.71498435,0.70665516,0.69742981,0.69031556,0.68191469,0.67519492,0.169482862,-0.068290052
0.66717361,-0.3475534,0.70614059,-0.4047626,0.78397264,-0.422696,0.68784283,-0.3583477,0.72697128,-0.4120723,0.79486744,-0.4512454,0.72773321,-0.352869,0.78144051,-0.4286857,0.75321238,-0.4329972,0.97162528,-0.5717901,1,-0.4700965,1,0.22789255,0.98541859,0.22369432,0.97914254,0.2214917,0.96913026,0.21788671,0.97913857,0.21490615,0.83662446,0.18757703,0.8229755,0.18421716,0.79278665,0.17614702,0.77727428,0.17244299,0.7656863,0.16864834,0.75202397,0.16530233,0.7402498,0.16155819,0.72791805,0.15853406,0.71588936,0.15493055,0.7049876,0.1521035,0.69298774,0.14871193,0.948003653,0.901468561,0.909235623,0.828036935,0.858970286,0.892429116,0.794779721,0.829413377,0.865837923,0.896609129,0.99806039,0.87032728,1,0.79361302,0.9952731,0.77100578,0.75544006,0.73307587,0.72672092,0.72043951,0.71372806,0.70555437,0.69715012,0.69080363,0.68273203,0.67606157,0.127602508,-0.032029732
0.66799576,-0.3480035,0.70691812,-0.4047708,0.78504457,-0.423518,0.68820874,-0.3587569,0.727799,-0.4135574,0.79569926,-0.4527771,0.72810307,-0.3542113,0.7817349,-0.4302449,0.75247903,-0.4335394,0.97130914,-0.5727185,1,-0.4694992,1,0.22792622,0.98485012,0.22358664,0.97781924,0.22121924,0.96700844,0.21746409,0.97620019,0.2143201,0.83359896,0.1868845,0.81970708,0.18346267,0.78985356,0.17541796,0.77461156,0.17175988,0.76300089,0.16796709,0.74951414,0.16466114,0.73768555,0.1609159,0.72549988,0.15792594,0.71340682,0.15435503,0.70252064,0.15152257,0.69056685,0.14816016,0.94872251,0.901937816,0.909657405,0.828094208,0.859154849,0.892970746,0.794888695,0.829723432,0.866348238,0.896428089,0.99908251,0.87054156,1,0.79362347,0.9936482,0.76961444,0.754189,0.73322337,0.72707787,0.72063323,0.71354129,0.70513093,0.69675041,0.6904775,0.68255687,0.67590569,0.189090325,-0.004070857
0.66638897,-0.3474602,0.7052644,-0.405067,0.78263769,-0.4225475,0.68703382,-0.3586369,0.72583648,-0.4117124,0.79350668,-0.4505271,0.72677938,-0.3523492,0.78044582,-0.4274226,0.75302747,-0.4317169,0.97122627,-0.5696404,1,-0.4695687,1,0.22786404,0.98578997,0.22378076,0.97998366,0.22171511,0.97047235,0.21824875,0.98100114,0.21538545,0.83851265,0.18817349,0.82481606,0.18482794,0.7935332,0.17656731,0.77747339,0.17273952,0.76555776,0.16886023,0.75151062,0.1654107,0.73944447,0.16159182,0.72679358,0.15848294,0.71447839,0.15480517,0.70340272,0.15191415,0.69102144,0.14846116,0.94760103,0.901183838,0.909021214,0.828024758,0.858943143,0.892254597,0.794611323,0.829167949,0.865465978,0.896501808,0.99805941,0.8703739,1,0.79279139,0.99506088,0.77082186,0.75492273,0.73145696,0.72509665,0.71920343,0.71288209,0.70482936,0.69613179,0.68917303,0.68058756,0.67362094,0.161604468,-0.052671115
0.66730796,-0.3479495,0.70624032,-0.4049475,0.78407421,-0.4231936,0.68782363,-0.35876,0.72714099,-0.4128346,0.79487465,-0.4519226,0.72775116,-0.3536268,0.78136556,-0.4293404,0.75281821,-0.4331467,0.97132124,-0.5720668,1,-0.4702702,1,0.22790438,0.98521371,0.22365589,0.97866541,0.2213952,0.96836433,0.21773701,0.97805629,0.21469834,0.8354863,0.18735574,0.82156714,0.18392881,0.79072581,0.1756829,0.77501296,0.17190882,0.76307171,0.16801986,0.74927487,0.16462116,0.73715535,0.16079112,0.72472928,0.15772868,0.7123557,0.15409624,0.70134883,0.15119078,0.68904221,0.14778069,0.948212181,0.901572523,0.909357689,0.828046293,0.859036207,0.892619156,0.794849529,0.82950848,0.865950297,0.896576234,0.99841191,0.87046817,1,0.79339209,0.99459115,0.7702411,0.75456579,0.73233798,0.72593988,0.71951968,0.71257142,0.70417219,0.69545053,0.68886238,0.6806856,0.67390627,0.153079755,-0.022083277
0.66712101,-0.3479486,0.70609396,-0.4051773,0.78384311,-0.4231034,0.68783966,-0.3588153,0.7269693,-0.4124526,0.79473875,-0.4515269,0.72775037,-0.3532183,0.78140113,-0.4288484,0.75324425,-0.4330851,0.97157217,-0.5718484,1,-0.4705799,1,0.22788943,0.98546834,0.22370464,0.97925676,0.2215184,0.96931248,0.21792733,0.97937659,0.21496267,0.83687513,0.1876622,0.82309516,0.18427663,0.79222889,0.17608877,0.77642956,0.17232785,0.76457932,0.16847978,0.75071517,0.16508728,0.73870548,0.16129516,0.72621051,0.15823295,0.71395125,0.15459681,0.7029228,0.15172574,0.69068258,0.14830798,0.947877918,0.901349306,0.909155947,0.82800029,0.858933222,0.892357598,0.79477066,0.829349271,0.86572768,0.896608366,0.99810421,0.87046413,1,0.79360781,0.99534176,0.77096944,0.75517158,0.73178213,0.72512101,0.71879057,0.71221244,0.70416113,0.69577205,0.68922482,0.68085748,0.67396285,0.126297128,-0.03459209
0.66808836,-0.3490524,0.70712448,-0.4056254,0.78529627,-0.4244028,0.68871117,-0.3595733,0.72841243,-0.4142096,0.79610252,-0.4534437,0.72885081,-0.3551426,0.78239613,-0.4312553,0.7530993,-0.4349848,0.97167437,-0.5749027,1,-0.4726851,1,0.22792945,0.98489891,0.2235799,0.97795062,0.22119661,0.96722434,0.21743,0.97644299,0.21426863,0.83387806,0.18685635,0.8197076,0.18335324,0.78851831,0.17505085,0.77275553,0.17128722,0.76057163,0.16737153,0.74674143,0.16398431,0.73440202,0.16012806,0.72195612,0.15707466,0.70936956,0.15345168,0.69826328,0.15051764,0.6858279,0.14711606,0.94836591,0.901603554,0.90940562,0.827958139,0.858963658,0.892627874,0.795004712,0.829634074,0.866113729,0.896760656,0.99856872,0.87090101,1,0.79424509,0.99497149,0.7704178,0.75446975,0.73083625,0.72378368,0.71693287,0.7099918,0.70182494,0.69352931,0.68710182,0.67875898,0.67174641,0.110665277,-0.003810192
0.66510874,-0.3465509,0.70396397,-0.4045854,0.78096411,-0.4210925,0.68633793,-0.3576661,0.72430493,-0.409479,0.79196323,-0.4480743,0.72575982,-0.3504485,0.77957151,-0.4249036,0.75353629,-0.4302923,0.97136482,-0.567724,1,-0.4697727,1,0.22782051,0.9864668,0.2239188,0.98153151,0.22206052,0.97295043,0.21881322,0.98445704,0.21612331,0.84204782,0.18904751,0.82868441,0.1857913,0.79702823,0.1774914,0.7806482,0.17359365,0.76877825,0.16970333,0.75452827,0.16619418,0.74253555,0.1623687,0.72971814,0.15921051,0.71748535,0.15548751,0.70641993,0.15259761,0.69396919,0.14910529,0.946778805,0.900654142,0.908537499,0.82795308,0.85873125,0.891649485,0.794402609,0.828756024,0.864836556,0.896585916,0.99710587,0.87018087,1,0.79231233,0.99650635,0.77211431,0.75615469,0.73166728,0.72532889,0.71979289,0.71388514,0.70597969,0.69700313,0.68980407,0.68106867,0.67413754,0.114553898,-0.086393144
